siret,siren,nic
43980075600033,439800756,00033
90033695900011,900336959,00011
91214948100018,912149481,00018
89760343700020,897603437,00020
90038394400015,900383944,00015
84828499800038,848284998,00038
90042928300014,900429283,00014
89853759200013,898537592,00013
84832253300011,848322533,00011
90046088200013,900460882,00013
90046198900015,900461989,00015
90046685500013,900466855,00013
90051094200015,900510942,00015
90053841400021,900538414,00021
90058217200012,900582172,00012
31754202500042,317542025,00042
53356784800031,533567848,00031
79158523500025,791585235,00025
31754202500190,317542025,00190
90067586900011,900675869,00011
82179903800020,821799038,00020
90073276900014,900732769,00014
89296211900012,892962119,00012
84879068900014,848790689,00014
33377152500032,333771525,00032
84891251500014,848912515,00014
31754202500455,317542025,00455
31754202500463,317542025,00463
39299898500056,392998985,00056
90092346700014,900923467,00014
84907857100023,849078571,00023
90092391300017,900923913,00017
44062052400015,440620524,00015
44064045600024,440640456,00024
19750707200027,197507072,00027
90103120300010,901031203,00010
90104665600012,901046656,00012
90109307000018,901093070,00018
90110161800014,901101618,00014
31839329500528,318393295,00528
81169891900016,811698919,00016
90116251100017,901162511,00017
90118298000010,901182980,00010
84955523000036,849555230,00036
67080157000037,670801570,00037
50388066800051,503880668,00051
19080804800036,190808048,00036
90133114000011,901331140,00011
84970689000019,849706890,00019
44158313500047,441583135,00047
90135147800010,901351478,00010
81423537000016,814235370,00016
43201196300050,432011963,00050
84987404500016,849874045,00016
91481786100018,914817861,00018
90142575100020,901425751,00020
19130053200022,191300532,00022
90143521400019,901435214,00019
79379241700024,793792417,00024
91152325600012,911523256,00012
90472101600023,904721016,00023
90146892600018,901468926,00018
82266071800013,822660718,00013
90158466400014,901584664,00014
90242714500013,902427145,00013
19133206300020,191332063,00020
90160427200020,901604272,00020
90165190100018,901651901,00018
19150006500039,191500065,00039
90168730100027,901687301,00027
82294810500025,822948105,00025
